2021-06-21 12:06:613 INFO  HomePage :89 - Get Email id:[[ChromeDriver: chrome on WINDOWS (61fd22a0c37d9e91e11a2c313870a275)] -> xpath: //input[@id='Email']]
2021-06-21 12:06:743 INFO  HomePage :94 - Get company name:[[ChromeDriver: chrome on WINDOWS (61fd22a0c37d9e91e11a2c313870a275)] -> xpath: //input[@id='Company']]
2021-06-21 12:06:866 INFO  HomePage :99 - Get password:[[ChromeDriver: chrome on WINDOWS (61fd22a0c37d9e91e11a2c313870a275)] -> xpath: //input[@id='Password']]
2021-06-21 12:06:993 INFO  HomePage :104 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (61fd22a0c37d9e91e11a2c313870a275)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-21 12:06:914 INFO  HomePage :113 - Register message:[[ChromeDriver: chrome on WINDOWS (61fd22a0c37d9e91e11a2c313870a275)] -> xpath: //div[text()='Your registration completed']]
2021-06-21 12:06:132 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 12:06:427 INFO  HomePage :53 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //a[@class='ico-register']]
2021-06-21 12:06:473 INFO  HomePage :57 - Register Text:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //h1[text()='Register']]
2021-06-21 12:06:612 INFO  HomePage :63 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 12:06:634 INFO  HomePage :67 - Get first name:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //input[@id='FirstName']]
2021-06-21 12:06:749 INFO  HomePage :72 - Get last name:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //input[@id='LastName']]
2021-06-21 12:06:929 INFO  HomePage :78 - Date:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-21 12:06:06 INFO  HomePage :83 - Month:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-21 12:06:84 INFO  HomePage :88 - Year:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //select[@name='DateOfBirthYear']//option[contains(text(),'2011')]]
2021-06-21 12:06:113 INFO  HomePage :92 - Get Email id:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //input[@id='Email']]
2021-06-21 12:06:253 INFO  HomePage :97 - Get company name:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //input[@id='Company']]
2021-06-21 12:06:384 INFO  HomePage :102 - Get password:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //input[@id='Password']]
2021-06-21 12:06:517 INFO  HomePage :107 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (1c322fd8574c26dc18ecb0156d95bc8f)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-21 12:06:210 INFO  HomePage :116 - Register message:Proxy element for: DefaultElementLocator 'By.xpath: //div[text()='Your registration completed']'
2021-06-21 12:06:499 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 12:06:488 INFO  HomePage :53 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //a[@class='ico-register']]
2021-06-21 12:06:532 INFO  HomePage :57 - Register Text:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //h1[text()='Register']]
2021-06-21 12:06:675 INFO  HomePage :63 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 12:06:699 INFO  HomePage :67 - Get first name:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //input[@id='FirstName']]
2021-06-21 12:06:814 INFO  HomePage :72 - Get last name:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //input[@id='LastName']]
2021-06-21 12:06:03 INFO  HomePage :78 - Date:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-21 12:06:95 INFO  HomePage :83 - Month:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-21 12:06:181 INFO  HomePage :88 - Year:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //select[@name='DateOfBirthYear']//option[contains(text(),'2011')]]
